,Date,Close,High,Low,Open,company
256,2021-10-28,77139.859375,79164.77213699743,76788.5971765033,78973.99580939871,mrf
256,2021-10-28,56.43144989013672,57.291471682440076,56.096994393454324,57.291471682440076,tata
257,2021-10-29,173.8663330078125,182.571740501945,168.30454488656122,182.571740501945,reliance
257,2021-10-29,57.18939208984375,57.92996872905859,56.07310232876627,56.201236356866936,tata
257,2021-10-29,76842.0859375,77930.88147203429,76133.15892926654,77139.852820396,mrf
258,2021-11-01,59.31338882446289,59.62395792206121,57.7605698474167,58.058102187615674,tata
258,2021-11-01,180.58885192871094,187.06954168011114,173.04416194916112,173.140894609659,reliance
258,2021-11-01,78160.1171875,78421.22979061023,76724.92528772377,77686.1254432599,mrf
259,2021-11-02,57.096012115478516,59.50668574682807,56.94399171247552,59.50668574682807,tata
259,2021-11-02,184.94155883789062,185.71537585582294,177.00996761258125,177.00996761258125,reliance
259,2021-11-02,78070.453125,78753.10979075456,77831.74602732966,78277.67460282352,mrf
260,2021-11-03,57.59117126464844,57.8213790579329,56.98741762472075,57.50864269201131,tata
260,2021-11-03,181.5077362060547,188.52042541626494,179.9601170980203,185.715355635913,reliance
260,2021-11-03,77553.640625,78459.21108165043,77300.18023554338,78352.27484029818,mrf
261,2021-11-04,57.58900833129883,57.96472147600921,57.515162087678256,57.96472147600921,tata
261,2021-11-04,193.64695739746094,198.67674562349927,181.84629643193563,184.7480990345729,reliance
261,2021-11-04,77882.21875,78152.91596179653,77634.07446531013,77821.72320051737,mrf
262,2021-11-08,190.93862915039062,199.64403804343578,187.16629120047097,190.55172799221074,reliance
262,2021-11-08,79326.8984375,79669.41421122958,78048.3120595108,78337.33254098684,mrf
262,2021-11-08,58.32523727416992,58.494635599645136,56.75069909245329,58.203618303456274,tata
263,2021-11-09,78000.171875,79907.61684108041,77533.63057514964,79619.73722739582,mrf
263,2021-11-09,58.01033020019531,59.072332296696096,57.71931288788564,58.507668971253764,tata
263,2021-11-09,192.77642822265625,195.38804769041425,186.77937228501483,189.58444231347127,reliance
264,2021-11-10,77700.90625,78421.55978395641,77483.9527345059,78303.44797739928,mrf
264,2021-11-10,56.40321350097656,57.730172574174574,55.91022255262811,57.72582477881654,tata
264,2021-11-10,218.215576171875,227.2595193641796,191.66406877992117,196.06513930590128,reliance
265,2021-11-11,76690.515625,78278.68889752432,76396.22550335163,78278.68889752432,mrf
265,2021-11-11,56.420589447021484,57.517334043072005,55.97320397147428,56.67034244508148,tata
265,2021-11-11,211.49305725097656,230.6933252339274,205.10909987368746,230.20969142840553,reliance
266,2021-11-12,77676.7265625,77781.93215232783,76788.59457011893,77210.78283263253,mrf
266,2021-11-12,218.74754333496094,227.30786677467583,212.7988540018242,212.7988540018242,reliance
266,2021-11-12,55.89719009399414,58.33392383084384,55.24999824760026,58.33392383084384,tata
267,2021-11-15,208.10760498046875,224.1158856926582,205.3992676804471,222.423167500479,reliance
267,2021-11-15,77939.1953125,78357.80591271979,77197.83569892547,78179.3459718226,mrf
267,2021-11-15,54.08592987060547,56.42493449432138,53.990374471695475,56.37932903568433,tata
268,2021-11-16,197.0323944091797,214.24975952612508,192.5829725929041,207.9625205332591,reliance
268,2021-11-16,77940.1484375,78922.55128360105,77673.51785583039,78342.22077348611,mrf
268,2021-11-16,53.377925872802734,54.75917594529204,53.25196243030175,54.18582704617581,tata
269,2021-11-17,220.73046875,231.61222951531988,196.83896139934197,196.83896139934197,reliance
269,2021-11-17,78819.0078125,78927.391723905,78077.56562071666,78331.33841950799,mrf
269,2021-11-17,52.99135208129883,53.75147393492402,52.77634499256655,53.20852975376317,tata
270,2021-11-18,217.87701416015625,227.30787270870906,214.83012730204865,227.30787270870906,reliance
270,2021-11-18,77022.7578125,79472.28868914467,76801.4730095911,78977.06770485698,mrf
270,2021-11-18,51.54928970336914,53.371410145043995,51.35383113418377,52.78937560471913,tata
271,2021-11-22,75166.5859375,77476.94429139448,74546.49650910913,77089.55623266009,mrf
271,2021-11-22,50.59370422363281,51.97278024252849,49.7792880776389,51.514535291827876,tata
271,2021-11-22,209.80032348632812,223.43880170172434,206.02798598470687,223.43880170172434,reliance
272,2021-11-23,51.79904556274414,52.51356196224597,50.59588271315771,50.64583265003421,tata
272,2021-11-23,227.88824462890625,230.16131455515844,199.3538514099223,209.7519777524334,reliance
272,2021-11-23,75965.8046875,76284.44487603789,74581.37764074949,75449.42690339586,mrf
273,2021-11-24,51.2039794921875,52.27466380016935,50.9064438348758,52.239914578110316,tata
273,2021-11-24,255.02011108398438,260.1949989368331,223.53556075244,230.20970166158463,reliance
273,2021-11-24,75961.9375,76939.51939961576,75588.51159871457,76284.90065141206,mrf
274,2021-11-25,50.97811508178711,51.53626330110175,50.64583350182012,51.471109335371914,tata
274,2021-11-25,255.93902587890625,265.0313358775412,243.9932645076999,259.1309973137606,reliance
274,2021-11-25,75160.7734375,76142.22006685115,74770.55261083841,76095.1334152599,mrf
275,2021-11-26,48.31117248535156,50.38521991622859,48.08313526692256,50.38521991622859,tata
275,2021-11-26,243.02598571777344,259.22771809895835,236.98056318748058,259.22771809895835,reliance
275,2021-11-26,74676.640625,75331.20495627631,74064.63822583955,75331.20495627631,mrf
276,2021-11-29,48.419761657714844,49.38403105854588,46.71491890857974,48.3111728209342,tata
276,2021-11-29,73316.890625,74606.00332327656,72630.08667068006,74606.00332327656,mrf
276,2021-11-29,238.6732940673828,251.39285783735204,220.5370255212291,233.78858945375214,reliance
277,2021-11-30,74522.2109375,75499.88584907916,73205.28234265288,73205.28234265288,mrf
277,2021-11-30,46.54552459716797,48.97356960604816,46.20672461358294,48.38067543404439,tata
277,2021-11-30,241.23654174804688,246.6532463961664,236.11003510100454,244.67034479680123,reliance
278,2021-12-01,73300.1953125,74827.68273540941,73066.19783367128,74506.76082000085,mrf
278,2021-12-01,47.01896286010742,47.60099739169134,46.33051008333029,46.73663124251561,tata
278,2021-12-01,258.98590087890625,262.85497129353047,241.81690091401146,244.71870372497958,reliance
279,2021-12-02,73409.734375,73810.2853610796,72768.18534164768,73810.2853610796,mrf
279,2021-12-02,48.33506393432617,48.452341737301566,46.64976633038822,46.99724863009409,tata
279,2021-12-02,260.8236999511719,270.6414600938966,257.2931791485432,263.0484331211736,reliance
280,2021-12-03,73452.3125,74208.65622649352,73287.00855829901,73749.15178157366,mrf
280,2021-12-03,48.56093215942383,49.27110081023087,47.8855094200115,48.517493970910515,tata
280,2021-12-03,260.00152587890625,266.9658645886859,256.5677376164817,260.1949912114367,reliance
281,2021-12-06,48.17218017578125,49.549085857509965,47.88333346668392,48.64779982031487,tata
281,2021-12-06,256.4226379394531,264.7894964910542,253.42410257773955,253.5208352381813,reliance
